tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
74,1,0,0,1,0,"[0, 0, 0]","[36.42231248554949, 31.556837792440394, 32.02084972201012]","[0, 0, 0]",0.25714286,1.0,0.3642231248554949,1,-1
75,1,0,0,1,0,"[0, 0, 0]","[41.07609949231029, 28.848890493900292, 30.075010013789417]","[0, 0, 0]",0.25714286,1.0,0.4107609949231029,1,-1
76,1,0,0,1,0,"[0, 0, 0]","[42.999855404289306, 34.80329602677714, 22.196848568933557]","[0, 0, 0]",0.25714286,1.0,0.42999855404289306,1,-1
91,4,100.0,200.0,3,2,"[0, 0, 100]","[31.296014557285933, 29.773582826648727, 38.93040261606533]","[15.648007278642966, 14.886791413324369, 69.46520130803266]",-1.45714286,1.0,0.31296014557285934,1,-1
100,1,0,0,1,0,"[0, 0, 0]","[33.15750551097014, 28.935463598619226, 37.907030890410645]","[0, 0, 0]",-2.14285714,1.0,0.3315750551097014,1,-1
163,4,100.0,100,2,2,"[0, 0, 100]","[31.27910963572184, 29.267230363489503, 39.453660000788645]","[15.63955481786092, 14.633615181744759, 69.72683000039433]",-1.45714286,1.0,0.3127910963572184,1,-1
173,4,40.5,121.5,4,0,"[100, 0, 0]","[34.976009533935525, 30.186779549142507, 34.837210916921954]","[67.48800476696776, 15.093389774571254, 17.418605458460977]",-0.6,1.0,0.34976009533935526,1,-1
185,4,8.25,8.25,2,0,"[100, 0, 0]","[37.0133441486471, 35.02514280527195, 27.961513046080956]","[68.50667207432355, 17.512571402635974, 13.980756523040478]",-0.6,1.0,0.370133441486471,1,-1
201,1,0,0,1,0,"[0, 0, 0]","[43.10995512411748, 35.0386999058446, 21.85134497003792]","[0, 0, 0]",2.31428571,1.0,0.43109955124117477,1,-1
207,1,0,0,1,0,"[0, 0, 0]","[27.778592705306288, 44.159932541429384, 28.06147475326432]","[0, 0, 0]",2.82857143,1.0,0.2777859270530629,1,-1
27,1,0,0,1,0,"[0, 0, 0]","[26.996251777788398, 29.297726537365033, 43.70602168484657]","[0, 0, 0]",-2.57142857,1.0,0.269962517777884,1,-1
33,1,0,0,1,0,"[0, 0, 0]","[19.924589978218954, 26.006326245348067, 54.06908377643298]","[0, 0, 0]",-2.57142857,1.0,0.19924589978218954,1,-1
34,1,0,0,1,0,"[0, 0, 0]","[15.968275689263784, 24.220545096840553, 59.81117921389567]","[0, 0, 0]",-2.57142857,1.0,0.15968275689263783,1,-1
39,1,0,0,1,0,"[0, 0, 0]","[13.243019404371983, 29.41676388613162, 57.340216709496396]","[0, 0, 0]",-2.57142857,1.0,0.13243019404371983,1,-1
42,1,0,0,1,0,"[0, 0, 0]","[27.98397748126443, 32.08861339795911, 39.92740912077648]","[0, 0, 0]",1.62857143,1.0,0.27983977481264427,1,-1
58,4,19.0,38.0,3,0,"[100, 0, 0]","[41.04217897364646, 42.7069146799232, 16.250906346430344]","[70.76387079842922, 21.018870966059993, 8.217258235510796]",0.85714286,1.0,0.4104217897364646,1,-1
73,1,0,0,1,0,"[0, 0, 0]","[25.92934015023147, 32.0140732794722, 42.05658657029633]","[0, 0, 0]",0.17142857,1.0,0.2592934015023147,1,-1
88,4,78.125,312.5,5,1,"[0, 100, 0]","[28.28158553605831, 23.89881744574057, 47.81959701820113]","[14.140792768029154, 61.94940872287028, 23.909798509100565]",-1.54285714,1.0,0.28281585536058307,1,-1
99,1,0,0,1,0,"[0, 0, 0]","[11.156708136994034, 17.510830955953505, 71.33246090705246]","[0, 0, 0]",-2.31428571,1.0,0.11156708136994034,1,-1
161,1,0,0,1,0,"[0, 0, 0]","[27.2980871393164, 31.940609091936327, 40.76130376874726]","[0, 0, 0]",-2.57142857,1.0,0.272980871393164,1,-1
170,4,25.0,25.0,2,0,"[100, 0, 0]","[43.83814133470748, 30.91500816074861, 25.246850504543914]","[71.91907066735374, 15.457504080374305, 12.623425252271957]",-1.11428571,1.0,0.4383814133470748,1,-1
172,3,100,0,1,2,"[0, 0, 100]","[15.9494686487969, 28.108871712703664, 55.941659638499445]","[7.97473432439845, 14.054435856351832, 77.97082981924973]",-0.68571429,1.0,0.159494686487969,1,2
184,4,11.375,22.75,3,0,"[100, 0, 0]","[31.136876366982264, 40.62049298687293, 28.2426306461448]","[65.56843818349114, 20.310246493436466, 14.1213153230724]",-0.68571429,1.0,0.31136876366982263,1,-1
200,1,0,0,1,0,"[0, 0, 0]","[40.98290113348722, 31.04202433230633, 27.975074534206456]","[0, 0, 0]",2.22857143,1.0,0.40982901133487215,1,-1
206,1,0,0,1,0,"[0, 0, 0]","[30.042805937679155, 40.800033085721765, 29.15716097659909]","[0, 0, 0]",2.74285714,1.0,0.30042805937679157,1,-1
