tema,clasificacion,ponderacion,sumatoria_ponderaciones,contador,grado_de_conocimiento,matriz_ponderacion,matriz_inferencia,matriz_inferencia_final,dificultad,discriminacion,adivinacion,asintota,orden_evaluacion
98,4,20.166666666666668,121.0,7,0,"[100, 0, 0]","[26.36131127252871, 37.790618466807075, 35.84807026066423]","[63.180655636264355, 18.895309233403538, 17.924035130332115]",-1.97142857,1.0,0.2636131127252871,1,-1
178,3,33,0,1,0,"[100, 0, 0]","[18.770847197991145, 38.744111626660626, 42.485041175348236]","[59.38542359899557, 19.372055813330313, 21.242520587674115]",-0.25714286,1.0,0.18770847197991145,1,1
179,1,0,0,1,0,"[0, 0, 0]","[23.23324342226928, 31.848107114925966, 44.918649462804744]","[0, 0, 0]",-0.25714286,1.0,0.23233243422269279,1,-1
180,1,0,0,1,0,"[0, 0, 0]","[32.89474260554943, 32.18680511141987, 34.91845228303071]","[0, 0, 0]",-0.25714286,1.0,0.3289474260554943,1,-1
32,4,18.75,37.5,3,0,"[100, 0, 0]","[31.066726282988206, 28.219565167274908, 40.713708549736886]","[65.5333631414941, 14.109782583637454, 20.356854274868443]",-2.05714286,1.0,0.31066726282988205,1,-1
96,4,37.5,75.0,3,0,"[100, 0, 0]","[38.119077198517424, 33.9437214522038, 27.937201349278766]","[69.05953859925872, 16.9718607261019, 13.968600674639383]",-2.14285714,1.0,0.38119077198517426,1,-1
97,3,67,0,1,1,"[0, 100, 0]","[12.05016818927409, 19.161888416779313, 68.7879433939466]","[6.025084094637045, 59.58094420838965, 34.3939716969733]",-2.05714286,1.0,0.12050168189274091,1,11
169,1,0,0,1,0,"[0, 0, 0]","[41.9346394870321, 30.334125970966813, 27.731234542001083]","[0, 0, 0]",-1.11428571,1.0,0.419346394870321,1,-1
177,4,41.25,41.25,2,0,"[100, 0, 0]","[25.16208905054923, 33.81259941196632, 41.02531153748446]","[62.58104452527461, 16.906299705983155, 20.51265576874223]",-0.34285714,1.0,0.2516208905054923,1,-1
31,4,37.5,75.0,3,0,"[100, 0, 0]","[39.96576032504444, 27.997084540577767, 32.037155134377805]","[69.98288016252222, 13.998542270288883, 16.018577567188903]",-2.14285714,1.0,0.3996576032504444,1,-1
